13,-34,-298
10,-23,-270
15,-12,-257
19,-3,-268
24,-6,-301
28,-17,-320
26,-32,-321
16,-33,-295
10,-21,-268
16,-12,-255
20,-3,-269
25,-5,-298
26,-17,-318
26,-32,-321
17,-33,-295
10,-22,-267
15,-9,-261
17,-3,-270
24,-6,-297
27,-16,-319
25,-30,-322
16,-31,-293
10,-21,-268
14,-7,-261
20,-2,-270
22,-6,-300
27,-16,-318
26,-31,-320
17,-32,-292
11,-21,-265
15,-7,-256
18,-1,-271
23,-7,-301
28,-20,-319
24,-30,-321
15,-31,-294
9,-21,-270
18,-9,-257
19,-3,-271
23,-7,-298
27,-16,-316
26,-31,-318
16,-30,-290
10,-20,-265
15,-7,-255
18,-1,-268
25,-7,-303
27,-17,-318
25,-31,-321
16,-30,-295
8,-18,-266
15,-8,-255
18,-4,-274
26,-9,-301
27,-21,-318
24,-31,-320
16,-34,-293
9,-21,-266
14,-6,-259
17,-3,-276
24,-8,-303
26,-17,-318
25,-29,-320
14,-28,-289
8,-19,-266
17,-9,-254
19,-5,-273
26,-9,-302
25,-17,-321
25,-32,-319
16,-31,-293
10,-20,-267
17,-7,-257
19,-1,-272
24,-6,-300
24,-17,-319
25,-32,-321
16,-31,-292
8,-20,-266
18,-8,-258
19,-1,-274
25,-7,-302
26,-18,-319
24,-31,-318
13,-28,-288
10,-21,-267
15,-7,-257
17,-3,-276
25,-6,-306
25,-18,-322
25,-31,-320
16,-31,-291
10,-20,-263
15,-6,-257
19,-2,-276
25,-8,-305
26,-19,-322
23,-32,-320
14,-29,-290
11,-21,-265
15,-7,-256
19,-2,-274
25,-9,-304
28,-22,-318
23,-31,-316
15,-31,-287
11,-17,-265
17,-7,-257
20,-2,-273
25,-7,-303
27,-20,-322
24,-33,-317
14,-30,-288
10,-18,-265
15,-6,-258
16,0,-280
23,-6,-302
26,-21,-320
23,-32,-316
15,-27,-288
11,-18,-264
16,-6,-257
19,-2,-278
23,-7,-306
27,-21,-322
23,-34,-318
15,-29,-288
10,-19,-263
16,-6,-255
21,-5,-278
25,-6,-303
28,-21,-320
25,-32,-315
13,-28,-288
10,-18,-263
18,-6,-258
18,-2,-277
24,-6,-304
27,-20,-322
21,-33,-316
14,-29,-287
10,-19,-263
17,-4,-258
20,-3,-274
25,-8,-303
25,-21,-319
24,-33,-314
13,-25,-284
11,-18,-264
15,-5,-256
20,-2,-278
24,-8,-303
26,-20,-321
22,-32,-315
12,-30,-286
9,-17,-263
18,-5,-256
19,-1,-277
26,-8,-304
28,-23,-322
23,-32,-315
14,-28,-283
13,-19,-264
18,-7,-258
20,-3,-278
25,-9,-309
27,-21,-324
21,-34,-315
14,-29,-283
10,-19,-266
16,-7,-258
18,-3,-281
24,-11,-304
27,-23,-322
23,-33,-311
11,-25,-282
10,-19,-261
18,-5,-255
19,-1,-279
27,-7,-306
29,-22,-319
24,-32,-314
13,-30,-282
11,-16,-266
17,-6,-260
23,-2,-278
26,-10,-309
26,-23,-322
22,-32,-311
14,-28,-282
12,-20,-263
17,-5,-258
20,-2,-280
25,-8,-307
28,-24,-321
20,-32,-312
11,-26,-278
11,-18,-261
16,-5,-257
20,-2,-276
27,-10,-307
25,-24,-322
20,-32,-310
13,-28,-282
12,-19,-260
16,-4,-257
19,-3,-283
23,-9,-308
25,-21,-321
23,-33,-312
12,-26,-280
11,-17,-263
17,-6,-257
21,-3,-280
24,-8,-311
26,-23,-323
22,-32,-311
12,-28,-282
11,-15,-264
18,-4,-257
23,-3,-280
27,-9,-306
26,-24,-322
21,-34,-309
12,-27,-281
14,-17,-259
14,-3,-261
20,-2,-284
26,-11,-312
27,-24,-320
21,-32,-309
13,-28,-278
13,-16,-259
18,-4,-258
21,-4,-283
25,-10,-312
27,-24,-322
21,-32,-310
10,-27,-278
10,-14,-259
19,-5,-257
18,-2,-284
27,-11,-309
27,-23,-324
21,-31,-309
11,-26,-279
12,-16,-256
19,-5,-258
20,-4,-285
26,-10,-313
26,-23,-323
23,-32,-308
12,-25,-278
13,-16,-256
15,-4,-257
21,-5,-283
27,-11,-313
26,-25,-321
19,-30,-307
11,-27,-278
10,-14,-262
17,-3,-259
20,-4,-283
26,-11,-313
27,-25,-321
21,-31,-306
10,-26,-278
11,-16,-261
17,-3,-257
19,-4,-288
28,-10,-312
26,-25,-323
21,-32,-308
12,-26,-278
13,-17,-261
17,-3,-260
19,-5,-281
25,-10,-315
26,-24,-321
21,-32,-307
13,-24,-278
10,-14,-262
18,-4,-259
20,-4,-284
27,-12,-311
27,-26,-321
22,-33,-307
11,-25,-276
13,-15,-260
19,-2,-258
19,-3,-285
25,-10,-311
26,-25,-321
20,-32,-307
12,-26,-276
15,-16,-258
16,-3,-259
21,-3,-285
26,-12,-315
27,-25,-318
21,-33,-303
9,-24,-277
13,-15,-259
19,-4,-260
23,-4,-287
24,-12,-316
25,-25,-322
19,-33,-305
8,-23,-276
13,-17,-261
19,-4,-262
20,-4,-288
25,-12,-313
26,-26,-322
19,-31,-303
8,-24,-276
14,-15,-258
16,-3,-260
18,-3,-285
24,-12,-316
26,-26,-322
17,-32,-304
9,-25,-276
15,-13,-258
21,-4,-263
20,-6,-291
25,-15,-316
24,-24,-323
19,-33,-302
9,-24,-273
13,-12,-255
17,-4,-262
21,-5,-287
27,-14,-315
26,-28,-322
20,-33,-302
9,-25,-276
13,-12,-260
17,-3,-263
21,-4,-290
27,-16,-314
26,-27,-320
18,-32,-304
9,-25,-275
12,-13,-258
17,-2,-260
20,-4,-289
26,-13,-315
27,-28,-323
19,-33,-303
10,-25,-275
13,-12,-258
17,-3,-262
22,-5,-288
27,-14,-314
25,-28,-323
20,-32,-300
11,-26,-274
15,-13,-256
17,-3,-264
24,-6,-290
27,-13,-313
26,-29,-320
18,-33,-302
9,-24,-273
14,-12,-259
16,-1,-263
23,-5,-293
28,-16,-313
23,-26,-319
17,-33,-304
9,-22,-272
12,-10,-256
16,-2,-266
20,-5,-293
27,-15,-316
26,-29,-324
18,-34,-300
11,-25,-268
14,-12,-257
18,-2,-266
24,-6,-293
27,-15,-317
25,-29,-322
19,-32,-303
10,-25,-275
14,-13,-257
16,-2,-264
23,-5,-290
29,-16,-315
25,-28,-321
18,-33,-300
10,-23,-270
16,-11,-255
19,-3,-267
22,-4,-298
26,-13,-316
24,-27,-322
18,-34,-300
9,-25,-268
15,-11,-256
19,-2,-269
23,-5,-298
26,-14,-316
26,-29,-320
19,-34,-299
9,-21,-271
15,-11,-256
16,-2,-266
21,-3,-293
27,-15,-316
25,-29,-323
16,-32,-297
9,-25,-268
14,-10,-253
17,-3,-270
23,-4,-296
28,-15,-317
26,-29,-321
15,-31,-306
8,-20,-273
15,-11,-258
18,-3,-268
22,-5,-297
26,-17,-318
24,-29,-322
16,-33,-295
8,-22,-267
15,-12,-258
18,-3,-267
24,-8,-296
26,-16,-318
26,-30,-321
16,-31,-298
10,-22,-271
14,-8,-256
17,-3,-269
22,-4,-297
25,-15,-317
24,-29,-320
15,-31,-297
10,-21,-267
15,-10,-255
16,-2,-268
23,-6,-300
28,-17,-319
25,-30,-321
18,-33,-294
11,-22,-266
16,-9,-260
19,-3,-270
22,-4,-298
27,-15,-318
24,-31,-319
15,-31,-295
11,-23,-265
15,-8,-258
16,-1,-274
24,-5,-300
25,-15,-319
23,-29,-318
18,-33,-295
8,-20,-268
16,-9,-256
21,-5,-270
23,-7,-295
28,-17,-319
24,-29,-322
14,-32,-295
10,-22,-265
17,-8,-254
17,-2,-273
21,-6,-297
